Nama Gudang;Kode1;Kode2;Kode3;Kota;kodekab;Provinsi
GD PKT Kendari II;D280;;;KOTA KENDARI;7471;SULAWESI TENGGARA
GD PKG Kendari I;B492;;;KOTA KENDARI;7471;SULAWESI TENGGARA
GD PKG Kendari III;B494;;;KOTA KENDARI;7471;SULAWESI TENGGARA
GD PKT Bau Bau I;D406;;;KOTA BAU-BAU;7472;SULAWESI TENGGARA
GD PKG Bau Bau II;B495;;;KOTA BAU-BAU;7472;SULAWESI TENGGARA
GD GPP TELAGA GORONTALO;D371;;;KAB. GORONTALO;7501;GORONTALO
GP GORONTALO;B496;D3ET;;KAB. GORONTALO;7501;GORONTALO
GD GORONTALO III;D299;;;KAB. GORONTALO;7501;GORONTALO
GD GORONTALO IV;D2A2;;;KAB. GORONTALO;7501;GORONTALO
GP BOALEMO;B4BM;D3EU;;KAB. BOALEMO;7502;GORONTALO
GP BOALEMO 2;D298;B223;;KAB. BOALEMO;7502;GORONTALO
GD DELIMA MARISA POHUWATO;D372;B3HP;;KAB. POHUWATU;7504;GORONTALO
GP POHUWATO;B4AZ;D3EW;;KAB. POHUWATU;7504;GORONTALO
GD GORONTALO UTARA;B4BL;D3EV;;KAB. GORONTALO UTARA;7505;GORONTALO
GD PKT Mamuju Utara;D440;B3FC;;KAB. PASANGKAYU;7601;SULAWESI BARAT
GD PKG Mamuju Tengah;B3HO;;;KAB. PASANGKAYU;7601;SULAWESI BARAT
GD PKT Mamuju;D249;;;KAB. MAMUJU;7602;SULAWESI BARAT
GD PKG Mamuju II;B498;;;KAB. MAMUJU;7602;SULAWESI BARAT
GD PKT Polman I;D439;;;KAB. POLEWALI MANDAR;7604;SULAWESI BARAT
GD PKG Polman II;B497;;;KAB. POLEWALI MANDAR;7604;SULAWESI BARAT
GD PKT Polman III;D3FX;;;KAB. POLEWALI MANDAR;7604;SULAWESI BARAT
GP KOBISONTA;B499;;;KAB. MALUKU TENGAH;8101;MALUKU
GP NAMLEA BURU;B4DM;;;KAB. BURU;8104;MALUKU
GP AMBON II;B3FO;;;KOTA AMBON;8171;MALUKU
GP TOBELO II;B4CL;;;KAB. HALMAHERA UTARA;8203;MALUKU UTARA
GP HALMAHERA TIMUR II;B4CJ;;;KAB. HALMAHERA TIMUR;8206;MALUKU UTARA
GP TERNATE;B4A3;;;KOTA TERNATE;8271;MALUKU UTARA
GP BIAK NUMFOR;B4BR;;;KAB. BIAK NUMFOR;9106;PAPUA
GP KEEROM;B4AA;;;KAB. KEEROM;9111;PAPUA
GP KOYA BARAT JAYAPURA;B4DR;;;KOTA JAYAPURA;9171;PAPUA
GP MANOKWARI II;B4BB;;;KAB. MANOKWARI SELATAN;9211;PAPUA BARAT
GP MERAUKE I;B4A7;;;KAB. MERAUKE;9301;PAPUA SELATAN
GP MERAUKE II;B4A8;;;KAB. MERAUKE;9301;PAPUA SELATAN
GP WIRA USAHA SEJATI MERAUKE;B4DQ;;;KAB. MERAUKE;9301;PAPUA SELATAN
GP NABIRE;B4AB;;;KAB. NABIRE;9401;PAPUA TENGAH
GP TIMIKA II;B4BT;;;KAB. MIMIKA;9404;PAPUA TENGAH
GP SORONG;B4A4;;;KOTA SORONG;9671;PAPUA BARAT DAYA
